img_id,caption_id,root_Tense_error_sent
345209,74335,Детеныш лошади пил молоко своей матери.
460682,701597,лошадь лежала в поле
369849,302077,Три лошади паслись на траве возле уличного знака.
242342,102662,Две лошади вместе бежали по травянистому полю
23937,701648,маленькая овца лежала в поле
572408,305022,Корова стояла в поле с коровой поменьше.
437931,640543,Стадо овец стояло на покрытом травой поле.
191533,101378,Две овцы паслись в зеленом поле с деревьями на заднем плане.
374100,544197,Две коровы в поле смотрели в камеру.
237566,111229,Две черные коровы паслись на травянистом поле
310618,326535,Корова пыталась набрать воды из протекающей трубы.
92145,480808,Несколько очень красивых коричневых коров ели возле забора.
213961,597283,Две коровы гуляли по песчаным дюнам на пляже.
545958,671544,Корова стояла возле белого здания с синим входом.
129416,792878,Группа коров паслась в поле возле водоема.
361268,346464,Корова паслась на траве на обочине тротуара.
339512,412522,"Молочные коровы выстраивались в очередь у забора, чтобы пастись на более сладкой траве."
167193,414371,Две коровы бодались на пастбище.
116095,639064,"В ряд шли четыре коричневых и белых коровы, а за ними еще пара."
87444,154871,Корова сидела в загоне внутри здания.
539784,644822,У оживленной дороги паслось большое стадо овец.
66800,488445,Слон стоял в траве.
108864,339290,Два слона скрещивали бивни в противостоянии в поле
94538,219262,Три слона и зебра вместе стояли на улице.
69928,590059,Статуя слона висела на стене здания.
359135,414469,Два слона играли друг с другом и сцеплялись бивнями.
519461,579416,пара слонов стояла в загоне
11364,523448,Черный медведь шел по зеленому полю.
254479,108108,маленький медвежонок стоял между ветвями дерева
328499,781146,Бурый медвежонок и енот ели ягоды в лесу.
407019,652318,Белый медведь ходил около воды
98197,660644,Молодой черный медведь шел по травянистому полю.
539678,559876,Медведь сидел один на траве.
204381,763452,Белый полярный медведь стоял возле ветки дерева.
256091,489688,Группа зебр стояла в пустыне.
38825,798293,Две зебры паслись вместе в травянистой местности.
187434,549861,Пара зебр стояли на зеленом поле.
371243,724395,пара зебр идут по полю
63381,319594,одинокая зебра стояла у камней и ела траву
374486,544678,Два жирафа стояли вместе в поле.
352576,406866,Жираф стоял в лесу.
92109,751780,голова жирафа была изображена на красочной фотографии
432529,461052,два жирафа стояли очень близко друг к другу
393282,532995,Два жирафа стояли посреди поля.
580693,562006,Жирафы сидели на сухом травяном поле днем
116289,317074,Два жирафа стояли рядом друг с другом около дерева.
165336,218690,Два жирафа стояли рядом друг с другом на поле.
155546,637366,В гостиной возле обеденного стола стоял кожаный диван.
284375,226746,Открытый ноутбук стоял на деревянном столе.
82258,450055,Несколько книг были сложены на столе.
314935,416073,Два ноутбука стояли на коричневом столе.
47597,168925,Часы стояли поверх нескольких книг.
509260,706593,Старый телевизор показывал старую компьютерную игру перед двумя книжными стеллажами.
242615,48728,Две аккуратно заправленные кровати в комнате.
400922,108960,Вывеска висела на стене над часами.
500825,465840,Цветы стояли в высокой прозрачной вазе с водой.
88445,648789,украшенная ваза стояла на столешнице
435075,541767,Ваза была наполнена множеством разноцветных цветов.
508115,482318,"Плюшевый мишка сидел у цветка, кофейного мешка и религиозной статуи."
161008,303279,Ножницы лежали на деревянном ящике.
498363,60149,"Ножницы были прикованы цепями, чтобы их не украли."
348012,611516,Ножницы лежали на рулоне клейкой ленты.
318730,621557,Ножницы перерезали кусок веревки.
237844,476305,Ноутбук стоял на столе с другими аксессуарами.
34080,729521,Маленькие ножницы лежали рядом с копейкой.
425905,352981,Ножницы торчали из деревянного стола.
481890,524555,Большой белый мишка лежал на кровати с подушками.
328745,130171,Два коричневых мишки сидят на кровати в черно-белую клетку.
73453,829306,маленький плюшевый мишка стоял на столе рядом с шоколадным десертом
523315,662720,Коричневый плюшевый мишка сидел возле подушки
343534,762309,кукла держалась за руки с двумя плюшевыми мишками
43073,441233,Мальчик в синей рубашке стоял рядом с женщиной.
293133,280841,Маленькая девочка помогала высушить волосы другому ребенку.
338094,502277,Женщина в гостиной сушила волосы вниз головой.
27570,774300,Женщина сушила волосы феном перед зеркалом.
478874,528121,Молодая девушка держала фен и расчесывала волосы.
24402,521948,Женщина сушила феном комок газет.
212058,489586,Женщина дула на ребенка феном перед столом.
177262,607500,Кот сидел на стойке в ванной за феном.
361282,638785,Часы висели на деревянной стене.
208,76457,Игрушечный динозавр стоял на раковине рядом с открытым краном
518287,346953,Зубная щетка стояла в секции зубной пасты в держателе зубной щетки.
102668,102718,Большой белый автобус проезжал перекресток.
49994,232613,Светофор стоял рядом со стеной здания.
225093,479825,На рельсах стоял поезд с зеленой и оранжевой полосами.
57149,68122,Школьный автобус и серебристая машина ждали на железнодорожном переезде.
369482,760970,светофор висел над городской улицей
449793,149429,Два светофора были установлены на столбе на дороге.
340654,79780,Светофор и уличные знаки находились у красного пожарного гидранта.
258860,110323,Белый велосипед был припаркован рядом с коричневой кирпичной стеной.
187495,542197,Пожарный гидрант стоял на углу тротуара.
283054,20145,Пожарный гидрант был установлен на улице рядом с бордюром.
331223,398370,Красный пожарный гидрант находился рядом с предупредительной перегородкой.
511583,470814,Автомобиль был припаркован на улице ночью.
21671,347518,На тротуаре стоял сломанный розовый пожарный гидрант.
167422,180165,Красный пожарный гидрант стоял у реки с водой.
52005,631253,Желтый пожарный гидрант находился рядом с кустами.
440559,497641,"Желтый пожарный гидрант стоял рядом с люком, из которого выходит пар."
186322,292307,Посеребренный ржавый пожарный гидрант стоял посреди прохода.
451014,552527,Синий и желтый пожарный гидрант стоял на обочине дороги.
535242,732235,красный знак «Стоп» находился на дороге снаружи
88462,58590,Большой желтый школьный автобус останавливался на дороге.
97892,97956,Белый демон парил рядом с красным знаком «Стоп» под знаком улицы с односторонним движением.
391321,644080,уличный фонарь находился рядом со знаком «Стоп»
92244,124125,Кукла в платье стояла между двумя парковочными метрами.
258674,476865,Паркомат лежал криво на улице.
211653,316294,На выставке были представлены паркоматы различных типов и размеров.
37709,147427,На одном столбе висел знак «Стоп» и две таблички с названием улицы.
92212,200998,автомобили были припаркованы около дорожных знаков
67757,311794,"Вечером рекламный щит магазина стоял на тротуаре рядом с синей машиной, припаркованной у обочины."
280325,649128,Граффити украшало стену перед парковочным счетчиком.
38186,563755,Грузовик стоял рядом с бордюром с счетчиком.
288824,128023,пожарная машина ехала по городской улице
503183,648903,Кукла на шарнирах стояла между двумя парковочными метрами и смотрит.
518030,464430,скамейка стояла на корнете с видом на воду
453584,706106,На красной скамейке был изображен символ Coca-Cola.
57917,507535,Дерево росло на склоне возле скамейки.
330750,734260,Рядом со старым каменным зданием была поставлена скамейка.
18485,115539,Деревянная скамейка стояла в зеленом парке.
154168,525100,Автобус проезжал по улице мимо высоких домов.
423744,632926,Этот ноутбук и монитор были окружены множеством проводов
555298,543452,Собака спала между сумкой для книг и шредером под компьютерным столом.
111062,262639,Телевизор был вмонтирован в стену между двумя полками.
406211,344731,Кошка сидела на стуле в гостиной.
78107,673218,Кошка сидела перед телевизором и пристально смотрела на него.
363461,948,Компьютерный стол и стул выглядели как домашний офис.
568879,466981,Один из двух мониторов рядом с ноутбуками был включен.
541664,322728,Ноутбук стоял на столе из лего.
561403,432664,"На компьютерном столе был ноутбук, монитор и планшетный ПК."
482970,57954,Ноутбук стоял на столе с динамиком.
254169,829389,два ноутбука и монитор компьютера стояли рядом друг с другом на столе
93948,688923,Кошка стояла рядом с тарелкой на компьютере.
119828,508898,Кот сидел на деревянном столе.
356790,354225,"Коллаж из четырех изображений показывал клавиатуры, мониторы и компьютерные мыши."
20481,733184,Ноутбук стоял на столе.
37367,503293,Ноутбук стоял на столе.
278313,729553,Хоккейная майка лежала на спинке дивана перед телевизором.
436963,469558,"Клавиатура, мышь и монитор стояли на столе."
427666,665051,Три банана лежали рядом с ноутбуком и мобильными телефонами.
219632,760037,Черная кудрявая собака играла с фрисби.
528488,145610,собака играла во фрисби на снегу
403315,84923,Хаски нес фрисби в парке.
223032,691970,Собака держала в пасти белую фрисби.
212817,394031,Ребенок на сноуборде спускался по склону.
96625,459091,Мужчина выполнял трюк на лыжах.
207178,792688,Два человека стояли на снегу с лыжами.
392665,713137,Две молодые девушки сидели в снаряжении для сноуборда
297698,736556,Лыжник в прыжке наклонялся вперед.
283186,85074,"Лыжник в шлеме и очках наклонялся, чтобы обойти препятствие."
263223,705288,Мужчина катался на лыжах по заснеженному склону.
414170,280831,"Несколько лыжников скользили по холмистой местности, покрытой снегом."
761,731103,Группа лыжников готовилась к спуску с горы.
85813,319423,Пара вместе каталась на лыжах с горы.
239235,713366,Группа людей ехала вниз по заснеженной лыжной трассе.
112941,508064,Группа людей каталась на лыжах по склону заснеженной горы.
247692,568085,Группа мужчин каталась на лыжах по склону горнолыжного склона.
526040,743037,Человек на сноуборде упал в снег.
102903,129853,Человек в серой парке сидел на снегу
451104,338076,Человек стоял на тропинке в снегу.
296906,391836,Сноубордист в синем пальто выполнял воздушный трюк в альпийской зоне.
549683,516110,Мужчина пытался кататься на сноуборде в темноте.
285462,439960,"Женщина держала в одной руке доску для сноуборда, а другую руку в воздухе."
203382,781909,медведь стоял в пруду
1682,694422,Лодка плыла по водоему.
359569,587089,Черно-коричневая собака шла по снегу с красной фрисби во рту.
66568,538013,"Два плюшевых мишки лежали, прислонившись к стене."
153392,662976,Много воздушных змеев поднимались высоко в облака.
502090,491727,Воздушный змей летел по голубому небу с длинным хвостом.
7784,607568,большой воздушный змей летел высоко в небе.
228025,588888,Воздушный змей летел над песчаным коричневым пляжем.
44478,87628,Воздушный змей в форме самолета летел по воздуху.
384476,426936,Воздушный змей летел в голубом небе.
183416,49508,Воздушный змей в форме павлина летел над головой в голубом небе.
162357,432952,Воздушный змей зацепился за голую ветку дерева.
351621,291302,Два воздушных змея летели высоко в ясном голубом небе.
447501,798310,Зелёный воздушный змей-монстр парил в солнечном небе.
132686,411372,Небо было наполнено множеством разноцветных воздушных змеев.
187890,777224,Воздушный змей-дракон пролетал перед монументом Вашингтона
550729,202357,Красочный воздушный змей лежал на зеленом поле.
308974,541563,Воздушный змей летел по кристально чистому голубому небу.
85911,639356,Воздушный змей плыл посреди большого водоема.
509270,770558,На ветру летали два воздушных змея.
212801,76598,Несколько небольших воздушных змеев в форме дуги летят над океаном
204067,637098,Игрок на домашней базе готовился бить во время игры.
78671,740075,Бейсболист размахивал битой на поле
432820,781665,Бейсболист размахивал битой на поле.
8119,165508,Команда молодых людей играла в бейсбол.
115791,15050,Бейсболист стоял на ромбе с поднятой битой.
19176,108674,"Поле было заполнено бейсболистами, играющими в бейсбол."
297522,615387,Отбивающий замахивался бейсбольной битой с ловцом позади него.
397729,35903,Маленький ребенок размахивал бейсбольной битой во время игры в бейсбол.
318130,724149,Отбивающий ждал броска подачи.
291209,108577,Мужчина шел по бейсбольному полю в кетчерской перчатке.
456725,395421,Мужчина играл в бейсбол
464087,396465,"Бейсбольный отбивающий совершал мощный удар, а кэтчер и судья смотрели на него."
231508,149207,Бейсболист бросал бейсбольный мяч на поле.
289076,107737,"Скейтбордист, одетый во все черное, поднимался по деревянной рампе на своей доске."
26518,726263,кто-то стоял на скейтборде
359387,423951,"Ребенок пытался проделать трюк на скейтборде, сидя."
424271,108762,Группа маленьких детей каталась на скейтбордах в здании.
360595,345982,Мужчина со скейтбордом разговаривал с мужчиной в шляпе.
202444,473767,Скейтбордист выполнял трюк на цементе со зрителями при дневном свете
168260,672553,Желтый грузовик спасателя стоял на пляже
324189,530458,Доска для серфинга перерабатывалась в уникальное кашпо.
234677,219988,Гигантский Соник стоял на пляже с доской для серфинга.
572907,495970,Мужчина стоял на теннисном корте с ракеткой.
