img_id,caption_id,lem_sent
320944,685970,толпа человек идти по улица .
419444,436626,молодой человек кататься на скейтборд в наушник .
379144,47252,синий самосвал ехать по шоссе .
188866,690907,девушка сидеть с пончик в рука .
65655,815215,группа человек сидеть за стол с тарелка с еда
258395,712380,красный пожарный машина ехать по улица .
200058,563993,человек на сноуборд в снег .
190637,88188,маленький ребенок лежать в постель и играть в nintendo wii
346642,574297,"лагуна с кристально чистый вода , наполнить лодка ."
134322,96999,"полет воздушный змея между акватория и строительный комплекс , вероятно , япония ."
539874,712000,мужчина в красно-черный галстук .
537069,475392,мальчик бить бита по мяч .
391222,433850,два лыжница стоять на снег в фиолетовый костюм .
324340,416782,женщина держать в один рука три яблоко .
477500,807115,два человек сидеть на мопед на улица .
434488,693005,башня с час и небоскреб рядом с она .
556248,472605,птица гулять по большой скала у океан
559047,610152,кошка сидеть на деревянный сидение .
37907,472464,кошка лежать на разный электроника
87377,246997,красивый кошка прятаться внутри коричневый чемодан
380117,78607,кот лежать свернувшись калачик на стол в окружение зелень .
87595,518807,белый кот сидеть на кровать рядом с тумбочка .
503668,414369,лохматый собака лежать на зеленый и синий одеяло .
181763,180638,черно-белый собака в белый шляпа .
135748,258893,"крошечный собака в собачий постель , покрыть одеяло ."
515668,147653,собака гоняться за белый фрисби в грязный травяной парк .
206831,714576,больший коричневый собака держать в рот неоновый фрисби .
137321,508026,над кровать свеситься мужчина с низко опустить голова .
349776,225276,собака стоить рядом с кошка в ​​грязном поле .
29170,146278,лошадь на пустынный песчаный пляж с зонтик .
578902,699150,группа лошадь в поле с пегий лошадь на передний план .
368088,494887,стадо лошадь стоить на берег у вода
384513,562717,маленький лошадь привязать к телега на обочина дорога
129637,790835,фигурка лошадь рядом с прогулка по стол .
74460,737980,пара лошадь пастись на зеленый трава
345209,74335,детеныш лошадь пить молоко свой мать .
460682,701597,лошадь лежать в поле
274091,82454,"улица с кирпичный дом , британский флаг и башня с час ."
369849,302077,три лошадь пастись на трава возле уличный знак .
242342,102662,два лошадь вместе бежать по травянистый поле
23937,701648,маленький овца лежать в поле
572408,305022,корова стоить в поле с корова поменьше .
361123,114119,овца в снег с другой овца вокруг она .
437931,640543,стадо овца стоить на покрыть трава поле .
517795,198562,два овца рядом с деревянный конструкция за забор
191533,101378,два овца пастись в зеленый поле с дерево на задний план .
374100,544197,два корова в поле смотреть в камера .
237566,111229,два черный корова пастись на травянистый поле
310618,326535,корова пытаться набрать вода из протекать труба .
316112,158226,больший группа разбросать по поле овца .
92145,480808,несколько очень красивый коричневый корова есть возле забор .
213961,597283,два корова гулять по песчаный дюна на пляж .
545958,671544,корова стоить возле белый здание с синий вход .
129416,792878,группа корова пастись в поле возле водоем .
361268,346464,корова пастись на трава на обочина тротуар .
339512,412522,"молочный корова выстраиваться в очередь у забор , чтобы пастись на более сладкий трава ."
167193,414371,два корова бодаться на пастбище .
116095,639064,"в ряд идти четыре коричневый и белый корова , а за они еще пара ."
87444,154871,корова сидеть в загон внутри здание .
539784,644822,у оживленный дорога пастись большой стадо овца .
66800,488445,слон стоить в трава .
108326,741718,"больший картина , на который зебра и свинья стоять рядом с олень ."
108864,339290,два слон скрещивать бивень в противостояние в поле
94538,219262,три слон и зебра вместе стоять на улица .
69928,590059,статуя слон висеть на стена здание .
359135,414469,два слон играть друг с друг и сцепляются бивень .
519461,579416,пара слон стоить в загон
11364,523448,черный медведь идти по зеленый поле .
254479,108108,маленький медвежонок стоить между ветвь дерево
328499,781146,бурый медвежонок и енот есть ягода в лес .
407019,652318,белый медведь ходить около вода
98197,660644,молодой черный медведь идти по травянистый поле .
539678,559876,медведь сидеть один на трава .
204381,763452,белый полярный медведь стоить возле ветка дерево .
256091,489688,группа зебра стоить в пустыня .
416193,424097,поле с зебра и жираф в зоопарк .
38825,798293,два зебра пастись вместе в травянистый местность .
187434,549861,пара зебра стоять на зеленый поле .
371243,724395,пара зебра идти по поле
85285,799558,"крупный план зебра , идти по земля"
63381,319594,одинокий зебра стоить у камень и есть трава
105670,340761,"вид на задний часть зебра , когда она идти ."
512468,583425,зебра и некоторый другой животное на тропа
42534,483345,« портретный снимок » зебра на резкий фон .
374486,544678,два жираф стоять вместе в поле .
352576,406866,жираф стоить в лес .
92109,751780,голова жираф изобразить на красочный фотография
432529,461052,два жираф стоять очень близко друг к друг
393282,532995,два жираф стоять посреди поле .
580693,562006,жираф сидеть на сухой травяной поле день
116289,317074,два жираф стоять рядом друг с друг около дерево .
165336,218690,два жираф стоять рядом друг с друг на поле .
442894,50409,два жираф в зоопарк на фон стена с рисунок поле .
118401,451415,жираф и несколько слон у кромка вода .
155546,637366,в гостиная возле обеденный стол стоить кожаный диван .
534121,580039,диван и стул в маленький комната .
284375,226746,открытый ноутбук стоить на деревянный стол .
82258,450055,несколько книга сложить на стол .
454907,196066,"кухня с плита , духовка и холодильник ."
314935,416073,два ноутбук стоять на коричневый стол .
441225,413970,ванный комната с ванна и два раковина .
436470,123258,"гостиная с диван , стул и стол"
567657,84895,компьютерный стол с ноутбук и настольный компьютер .
47597,168925,час стоять поверх несколько книга .
509260,706593,старый телевизор показывать старый компьютерный игра перед два книжный стеллаж .
80045,479228,больший уличный час с два циферблат и различный рисунок и цифра на циферблат .
414676,734871,очень высокий кирпичный башня с час по бок .
242615,48728,два аккуратно заправить кровать в комната .
294305,763236,двое час на вершина башня в ночной время .
163798,628207,башня с час рядом с больший здание .
400922,108960,вывеска висеть на стена над час .
169273,88853,час на старый каменный здание рядом с окно
413497,376354,"больший час , установить на стена каменный здание"
577821,570176,старый башня с час с римский цифра и колокол .
414340,122609,больший башня с час рядом с маленький белый церковь .
105455,97045,красочный башня с час на улица .
414663,770474,час с фонарь на тротуар возле белый здание .
3084,666732,синий циферблат с золотой цифра в кирпичный здание
133195,520477,очень высокий здание с городской час на он
521181,84714,"в спальня больший кровать , покрыть одеяло ."
228464,317092,фотография здание с акцент на час .
264730,2048,час на стена в город .
271548,36714,стеклянный ваза с белый цвет .
283064,716335,"стол с огромный стеклянный ваза , в который стоять искусственный цветок ."
500825,465840,цветок стоять в высокий прозрачный ваза с вода .
220137,122398,крытый сад с голубой ваза и соломенный беседка .
309405,344828,"гостиная с красный стул и пуфик , стол и телевизор ."
223671,537337,небольшой гостиная с стул и пуф
56443,699396,черно-белый натюрморт ветка с цвет в ваза
140076,787422,накрыть обеденный стол с цветочный ваза на стол .
88445,648789,украсить ваза стоить на столешница
239306,433905,три сине-белый ваза на полка на узорчатый фон .
262360,671262,ваз с цвет и вода на стол .
435075,541767,ваз наполнить множество разноцветный цвет .
508115,482318,"плюшевый мишка сидеть у цветок , кофейный мешок и религиозный статуя ."
181947,152145,чашка с три пара ножницы на стол .
116226,631197,"пара желтый ножницы , половник и прихватка"
161008,303279,ножницы лежать на деревянный ящик .
198992,256203,пара красный ножницы на белый поверхность .
498363,60149,"ножницы приковать цепь , чтобы они не украсть ."
348012,611516,ножницы лежать на рулон клейкий лента .
232596,336944,куча отрезать волос поверх расческа и ножницы .
348083,485345,комната с диван и стол внутри
122602,86364,стол с ножницы и бутылка клей рядом с доска .
318730,621557,ножницы перерезать кусок веревка .
81354,446368,крупный план ржавый ножницы и гаечный ключ .
237844,476305,ноутбук стоить на стол с другой аксессуар .
194425,111174,"камень , ножницы и бумага в вид статуя ."
421069,536219,ножницы и буклет на стол
564283,199806,белый холодильник с морозильный камера на кухня .
34080,729521,маленький ножницы лежать рядом с копейка .
425905,352981,ножницы торчать из деревянный стол .
288161,503820,кухня с электроприбор над раковина
481890,524555,большой белый мишка лежать на кровать с подушка .
4396,756284,плюшевый мишка в зеленый халат
175443,669925,рождественский елка с огонь и плюшевый мишка
328745,130171,два коричневый мишка сидеть на кровать в черно-белый клетка .
73453,829306,маленький плюшевый мишка стоить на стол рядом с шоколадный десерт
523315,662720,коричневый плюшевый мишка сидеть возле подушка
343534,762309,кукла держаться за рука с два плюшевый мишка
139277,34596,крупный план очень маленький плюшевый мишка .
43073,441233,мальчик в синий рубашка стоить рядом с женщина .
48850,55526,стол с два стул с розовый фен наверху .
574250,207899,"шкаф , наполнить одежда , рядом с белый кровать ."
178028,556990,раковина в ванный комната с больший зеркало и фен на стена .
293133,280841,маленький девочка помогать высушить волос другой ребенок .
338094,502277,женщина в гостиная сушить волос вниз голова .
27570,774300,женщина сушить волос фен перед зеркало .
478874,528121,молодой девушка держать фен и расчесывает волос .
24402,521948,женщина сушить фен комок газета .
212058,489586,женщина дуть на ребенок фен перед стол .
117759,531114,"в зеркало видный женщина , который сушить волос ."
177262,607500,кот сидеть на стойка в ванная за фен .
126744,260531,"кухня с микроволновый печь , холодильник и посудомоечный машина ."
245112,424403,пара зубной щетка в держатель в комната .
44504,355486,зубной щетка и другой средство гигиена полость рот .
361282,638785,час висеть на деревянный стена .
63478,399210,раковина в ванная с товар для лицо вокруг она .
208,76457,игрушечный динозавр стоить на раковина рядом с открытый кран
114303,661558,"ванный комната с ванна , полок и раковина ."
129001,567359,ванна рядом с раковина в ванный комната .
518287,346953,зубной щетка стоить в секция зубной паста в держатель зубной щетка .
466583,587907,ванный комната с стоячий душ ряд с раковина и зеркало .
298732,617549,"коричнево-черный стойка , ванна , зеркало и чашка"
102668,102718,большой белый автобус проезжать перекресток .
49994,232613,светофор стоить рядом с стена здание .
194729,507429,табличка сбоку от каменный скамья .
385535,575975,дорожный знак на видный место между два светофор .
225093,479825,на рельс стоить поезд с зеленый и оранжевый полоса .
155451,306282,зеленый свет светофор улица здание и другой огонь
57149,68122,школьный автобус и серебристый машина ждать на железнодорожный переезд .
369482,760970,светофор висеть над городской улица
266451,425346,башня с белый час и несколько здание
449793,149429,два светофор установить на столб на дорога .
307598,736922,желто-зеленый поезд на светофор .
166391,187245,больший широкий улица с множество светофор .
340654,79780,светофор и уличный знак находиться у красный пожарный гидрант .
95063,213868,светофор с сигнал пешеходный переход .
258860,110323,белый велосипед припарковать рядом с коричневый кирпичный стена .
495379,761932,крупный план красный пожарный гидрант возле тротуар .
5437,46000,пожарный гидрант с синий куртка поверх он .
152465,771557,пожарный гидрант с шина под он .
363654,428793,пожарный гидрант в куча снег рядом с ветхий здание .
187495,542197,пожарный гидрант стоить на угол тротуар .
283054,20145,пожарный гидрант установить на улица рядом с бордюр .
331223,398370,красный пожарный гидрант находиться рядом с предупредительный перегородка .
523194,325096,пожарный гидрант на обочина дорога .
419080,289150,"знак рядом с тротуар с мусорный бак , дорожный конус и несколько пожарный гидрант ."
178810,581425,"желто-красный пожарный гидрант , стоить рядом с дерево ."
511583,470814,автомобиль припарковать на улица ночь .
13159,85191,"табличка о тот , что рядом быть пожарный гидрант ."
117792,224950,красный пожарный гидрант перед окно с больший окно .
21671,347518,на тротуар стоить сломать розовый пожарный гидрант .
167422,180165,красный пожарный гидрант стоить у река с вода .
52005,631253,желтый пожарный гидрант находиться рядом с куст .
440559,497641,"желтый пожарный гидрант стоить рядом с люк , из который выходить пар ."
372203,422696,деревянный скамейка и пожарный гидрант на поле .
274655,686874,автобус с реклама казино
186322,292307,посеребренный ржавый пожарный гидрант стоить посреди проход .
29648,234454,красный пожарный гидрант на бетонный блок .
331024,486953,размытый фото желтый пожарный гидрант
451014,552527,синий и желтый пожарный гидрант стоить на обочина дорога .
6091,784493,ночь хорошо видный знак « стоп » .
28982,120499,красный знак « стоп » на обочина дорога .
305634,79504,знак угол улица над красный знак « стоп » .
535242,732235,красный знак « стоп » находиться на дорога снаружи
88462,58590,большой желтый школьный автобус останавливаться на дорога .
76648,505982,знак « стоп » с различный наклейка .
182469,385219,знак « стоп » над баррикада на дорога .
562737,475228,"знак « стоп » , под который быть еще один знак , предупреждать , что движение не останавливаться ."
66263,622340,знак « стоп » в глушь с больший холмистый холм .
24629,355610,красный знак « стоп » на обочина улица .
197090,194833,красный знак « стоп » на обочина улица .
503277,152634,знак « стоп » рядом с дорожный знак на обочина дорога .
105291,361790,знак « стоп » на угол north main и schoolhouse .
79408,402565,красный знак « стоп » рядом с лес .
151231,758215,"знак стоп с табличка над он , на который написать « david » ."
386525,503414,припарковать грузовик на стоянка рядом с дерево .
97892,97956,белый демон парить рядом с красный знак « стоп » под знак улица с односторонний движение .
391321,644080,уличный фонарь находиться рядом с знак « стоп »
84168,387809,знак « стоп » и пожарный гидрант на угол зарасти трава тротуар .
45966,109995,знак « стоп » на иностранный язык
388487,368308,"дикий цветок , расти рядом с знак « стоп » ."
239843,521386,два дорожный знак над знак остановка .
92244,124125,кукла в платье стоить между два парковочный метр .
258674,476865,паркомат лежать криво на улица .
433774,632421,паркомат рядом с высокий дерево .
348584,609623,"два парковочный счетчик , засыпать снег , видный только их лицевые сторона ."
211653,316294,на выставка представить паркомат различный тип и размер .
503252,678894,парковочный счетчик зеленый цвет с надпись « donation station »
37709,147427,на один столб висеть знак « стоп » и два табличка с название улица .
543985,460476,паркомат рядом с припарковать автомобиль .
462677,220627,синий парковочный счетчик рядом с улица .
92212,200998,автомобиль припарковать около дорожный знак
417588,355004,разноцветный парковочный счетчик перед лестница .
242345,222039,окно с сторона здание за парковочный счетчик .
370448,396585,пожарный гидрант перед пустой тротуар .
67757,311794,"вечер рекламный щит магазин стоить на тротуар рядом с синий машина , припарковать у обочина ."
280325,649128,граффити украшать стена перед парковочный счетчик .
38186,563755,грузовик стоить рядом с бордюр с счетчик .
53994,526101,симпатичный красно-бело-синий парковочный счетчик у куст .
288824,128023,пожарный машина ехать по городской улица
498533,134725,уличный сцена с снег на автомобиль и на земля .
565012,717603,автомобиль на шоссе ночь в город
135023,217683,паркомат на обочина дорога .
503183,648903,кукла на шарнир стоить между два парковочный метр и смотреть .
46144,533747,скамейка цвет радуга в парк
220171,231327,коричневый деревянный скамейка у стена .
109894,159457,час на столб на городской улица возле здание
334311,20826,скамейка на обочина пустой пешеходный дорожка .
518030,464430,скамейка стоить на корнет с вид на вода
424258,368820,деревянный скамейка возле два бочка с цвет .
576927,122793,"скамейка в парк с два камень , сложить друг на друг"
453584,706106,на красный скамейка изобразить символ coca-cola .
57917,507535,дерево расти на склон возле скамейка .
147293,702131,"скамейка в парк , вокруг который расти дерево"
330750,734260,рядом с старый каменный здание построить скамейка .
466332,313192,скамейка перед дом с куст
25430,561120,скамья с вид на пышный зеленый долина внизу .
18485,115539,деревянный скамейка стоить в зеленый парк .
28826,284017,"скамейка , частично засыпать песок , на пляж у океан ."
405248,393890,"деревянный скамейка , покрыть горшок и контейнер с растение ."
351589,568063,деревянный скамейка возле дом .
113128,677548,скамейка у изгородь недалеко от лес
154168,525100,автобус проезжать по улица мимо высокий дом .
387388,660086,скамейка на деревянный доска в вода
555298,543452,собака спать между сумка для книга и шредер под компьютерный стол .
111062,262639,телевизор вмонтировать в стена между два полка .
270096,564287,ноутбук и несколько компьютер на стол .
50753,482105,"кухня с духовка , плита , раковина , микроволновый печь и холодильник ."
137301,808886,"стол с ноутбук , монитор , мышка и сумка ."
580953,280752,"стол с ноутбук , компьютерный монитор и клавиатура ."
406211,344731,кошка сидеть на стул в гостиная .
128148,107034,больший гостиная с кожаный диван и деревянный пол .
142246,76777,компьютер на стол с четыре стул в эркер .
113556,378445,"полок в комната , полный книга"
78107,673218,кошка сидеть перед телевизор и пристально смотреть на он .
225456,786470,кошка рядом с экран компьютер
363461,948,компьютерный стол и стул выглядеть как домашний офис .
225757,172454,стол с несколько компьютер и сотовый телефон .
368684,481768,комната с телевизор на задний план и экран ноутбук на передний план .
499842,429028,компьютерный стол с компьютер и ноутбук наверху
568879,466981,один из два монитор рядом с ноутбук включить .
423744,632926,ноутбук и монитор окружить множество провод
541664,322728,ноутбук стоить на стол из лего .
242427,784743,"комната с стол , ноутбук и экран с розетка ."
105538,694538,"стол с ноутбук , монитор , клавиатура , мышь и динамик ."
464196,222534,"большой экран проектор над стол , покрыть ноутбук ."
135872,27550,стол с ноутбук и настольный компьютер .
561403,432664,"на компьютерный стол быть ноутбук , монитор и планшетный пк ."
482970,57954,ноутбук стоить на стол с динамик .
71563,331299,"монитор с больший экран на стол , подключить к ноутбук ."
398567,97085,"стол с компьютер , клавиатура , мышь , качаться голова , динамик и лавовый лампа ."
254169,829389,два ноутбук и монитор компьютер стоять рядом друг с друг на стол
253263,100808,настольный и портативный компьютер на стол с принтер .
312868,349660,стол с два ноутбук и компьютерный монитор с клавиатура .
154423,107513,черный стол с монитор настольный компьютер и клавиатура на он .
430002,127775,крупный план тарелка пицца возле компьютерный клавиатура
558012,548589,компьютерный стол с ноутбук и настольный компьютер .
217269,151170,изогнутый стол с клавиатура и монитор на он
93948,688923,кошка стоить рядом с тарелка на компьютер .
248631,35012,ноутбук с прикрепить к он стационарный мышь .
119828,508898,кот сидеть на деревянный стол .
356790,354225,"коллаж из четыре изображение показывать клавиатура , монитор и компьютерный мышь ."
20481,733184,ноутбук стоить на стол .
308117,332727,экран компьютер с клавиатура и мышь на стол
37367,503293,ноутбук стоить на стол .
225609,677717,ноутбук на деревянный стол .
278313,729553,хоккейный майка лежать на спинка диван перед телевизор .
550784,408144,кровать с балдахин в просторный комната с пуфик
446881,157129,гостиная с телевизор в центр и вид на кухня .
7288,95876,белый унитаз с электронный коричневый сидение .
436963,469558,"клавиатура , мышь и монитор стоять на стол ."
333888,484192,гостиная с синий стул и книжный полка
95908,178615,кружок на грелка рядом с мышка .
272630,324660,два ноутбук на стол .
505043,432352,компьютерный стол с два ноутбук и монитор сверху
486383,189620,ноутбук и монитор настольный компьютер на стол .
37740,291975,деревянный стол с ноутбук на он .
413341,99810,клавиатура ноутбук с три маленький фигурка медведь наверху .
505754,36428,кусок торт на тарелка рядом с чашка кофе на стол
309424,560783,"офисный зона с два компьютерный монитор и два жесткий чемодан , установить на стул с колесико ."
233638,455665,ноутбук и мобильный телефон на стол .
427666,665051,три банан лежать рядом с ноутбук и мобильный телефон .
169361,514359,у собака за голова зеленый фрисби
219632,760037,черный кудрявый собака играть с фрисби .
528488,145610,собака играть в фрисби на снег
403315,84923,хаска нести фрисби в парк .
223032,691970,собака держать в пасть белый фрисби .
212817,394031,ребенок на сноуборд спускаться по склон .
96625,459091,мужчина выполнять трюк на лыжа .
207178,792688,два человек стоять на снег с лыжа .
392665,713137,два молодой девушка сидеть в снаряжение для сноуборд
297698,736556,лыжник в прыжок наклоняться вперед .
283186,85074,"лыжник в шлем и очко наклоняться , чтобы обойти препятствие ."
263223,705288,мужчина кататься на лыжа по заснеженный склон .
414170,280831,"несколько лыжник скользить по холмистый местность , покрыть снег ."
761,731103,группа лыжник готовиться к спуск с гора .
85813,319423,пара вместе кататься на лыжа с гора .
239235,713366,группа человек ехать вниз по заснеженный лыжный трасса .
112941,508064,группа человек кататься на лыжа по склон заснеженный гора .
247692,568085,группа мужчина кататься на лыжа по склон горнолыжный склон .
526040,743037,человек на сноуборд упасть в снег .
102903,129853,человек в серый парк сидеть на снег
39988,168641,снимок с низ человек на сноуборд .
451104,338076,человек стоить на тропинка в снег .
296906,391836,сноубордист в синий пальто выполнять воздушный трюк в альпийский зона .
549683,516110,мужчина пытаться кататься на сноуборд в темнота .
285462,439960,"женщина держать в один рука доска для сноуборд , а другой рука в воздух ."
358296,660249,стойка для сноуборд у подножие лыжный холм возле здание .
209989,786252,несколько человек в снег
203382,781909,медведь стоить в пруд
1682,694422,лодка плыть по водоем .
364444,288911,компьютерный стол с 3 монитор и ноутбук .
2139,570325,"велосипед , прислонить к неубранный и грязный кровать ."
359569,587089,черно-коричневый собака идти по снег с красный фрисби в рот .
66568,538013,"два плюшевый мишка лежать , прислониться к стена ."
153392,662976,много воздушный змей подниматься высоко в облако .
502090,491727,воздушный змея лететь по голубой небо с длинный хвост .
7784,607568,большой воздушный змея лететь высоко в небо .
228025,588888,воздушный змея лететь над песчаный коричневый пляж .
44478,87628,воздушный змея в форма самолет лететь по воздух .
384476,426936,воздушный змея лететь в голубой небо .
183416,49508,воздушный змея в форма павлин лететь над голова в голубой небо .
162357,432952,воздушный змей зацепиться за голый ветка дерево .
351621,291302,два воздушный змея лететь высоко в ясный голубой небо .
161752,705085,"комната с воздушный змея , свисать с потолок ."
447501,798310,зеленый воздушный змей-монстр парить в солнечный небо .
132686,411372,небо наполнить множество разноцветный воздушный змей .
187890,777224,воздушный змей-дракон пролетать перед монумент вашингтон
216785,307276,воздушный змея высоко в воздух на дерево .
550729,202357,красочный воздушный змея лежать на зеленый поле .
308974,541563,воздушный змея лететь по кристально чистый голубой небо .
395083,121884,большой количество воздушный змей в небо
23751,171992,"статуя человек , держать воздушный змея , рядом с ребенок ."
521719,286536,крупный план висеть воздушный змей .
499588,10170,"разноцветный воздушный змея , прикрепить к светло-голубой стена ."
450439,84258,"патриотический воздушный змея , лететь по ясный голубой небо ."
85911,639356,воздушный змей плыть посреди большой водоем .
509270,770558,на ветер летать два воздушный змея .
212801,76598,несколько небольшой воздушный змей в форма дуга лететь над океан
204067,637098,игрок на домашний база готовиться бить в время игра .
78671,740075,бейсболист размахивать бита на поле
295006,677652,бейсболист с бита в рука на поле .
154071,569430,игрок в действие на бейсбольный поле .
432820,781665,бейсболист размахивать бита на поле .
8119,165508,команда молодой человек играть в бейсбол .
115791,15050,бейсболист стоить на ромб с поднять бита .
229984,512532,бейсболист на домашний база размахивать бита .
72795,633859,"группа игрок в мяч , играть на поле перед публика"
19176,108674,"поле заполнить бейсболист , играть в бейсбол ."
297522,615387,отбивать замахиваться бейсбольный бита с ловец позади он .
397729,35903,маленький ребенок размахивать бейсбольный бита в время игра в бейсбол .
318130,724149,отбивать ждать бросок подача .
555538,71280,кетчер в бейсбол с вытянутый рука .
291209,108577,мужчина идти по бейсбольный поле в кетчерский перчатка .
456725,395421,мужчина играть в бейсбол
464087,396465,"бейсбольный отбивать совершать мощный удар , а кэтчер и судья смотреть на он ."
444502,423693,человек на поле в бейсбольный перчатка .
231508,149207,бейсболист бросать бейсбольный мяч на поле .
289076,107737,"скейтбордист , одеть в весь черный , подниматься по деревянный рампа на свой доска ."
26518,726263,кто-то стоить на скейтборд
165862,479094,"группа мужчина , стоить рядом друг с друг на сцена ."
359387,423951,"ребенок пытаться проделать трюк на скейтборд , сидеть ."
300842,472419,скейтборд с колесо на пол .
424271,108762,группа маленький ребенок кататься на скейтборд в здание .
360595,345982,мужчина с скейтборд разговаривать с мужчина в шляпа .
63922,587726,маленький мальчик на скейтборд в шлем .
202444,473767,скейтбордист выполнять трюк на цемент с зритель при дневный свет
168260,672553,желтый грузовик спасатель стоить на пляж
353909,219206,синий доска для серфинг торчать из покрыть зеленый трава земля .
453310,763499,красный грузовик с фонарь на крыша и оборудование сзади .
522566,362066,припарковать очень короткий фургон с прислонить к он доска для серфинг .
324189,530458,доска для серфинг перерабатываться в уникальный кашпо .
495048,174380,собака на доска для серфинг в кузов грузовик .
164115,202154,доска для серфинг рядом с тележка для покупка .
234677,219988,гигантский соник стоить на пляж с доска для серфинг .
207027,170290,"ряд деревянный доска для серфинг , сидеть на стойка на пляж ."
6473,346562,торт на день рождение в вид пляж с доска для серфинг и пальма .
572907,495970,мужчина стоить на теннисный корт с ракетка .
