img_id,caption_id,root_Tense_error_sent1
129416,792878,Группа коров будет пастись в поле возле водоема.
361268,346464,Корова будет пастись на траве на обочине тротуара.
339512,412522,"Молочные коровы будут выстраиваться в очередь у забора, чтобы пастись на более сладкой траве."
167193,414371,Две коровы будут бодаться на пастбище.
116095,639064,"В ряд будут идти четыре коричневых и белых коровы, а за ними еще пара."
87444,154871,Корова будет сидеть в загоне внутри здания.
539784,644822,У оживленной дороги будет пастись большое стадо овец.
66800,488445,Слон будет стоять в траве.
108864,339290,Два слона будут скрещивать бивни в противостоянии в поле
94538,219262,Три слона и зебра вместе будут стоять на улице.
69928,590059,Статуя слона будет висеть на стене здания.
359135,414469,Два слона будут играть друг с другом и сцепляться бивнями.
519461,579416,пара слонов будет стоять в загоне
11364,523448,Черный медведь будет идти по зеленому полю.
254479,108108,маленький медвежонок будет стоять между ветвями дерева
328499,781146,Бурый медвежонок и енот будут есть ягоды в лесу.
407019,652318,Белый медведь будет ходить около воды
98197,660644,Молодой черный медведь будет идти по травянистому полю.
539678,559876,Медведь будет сидеть один на траве.
204381,763452,Белый полярный медведь будет стоять возле ветки дерева.
256091,489688,Группа зебр будет стоять в пустыне.
38825,798293,Две зебры будут пастись вместе в травянистой местности.
187434,549861,Пара зебр будут стоять на зеленом поле.
371243,724395,пара зебр будут идти по полю
63381,319594,одинокая зебра будет стоять у камней и есть траву
374486,544678,Два жирафа будут стоять вместе в поле.
352576,406866,Жираф будет стоять в лесу.
92109,751780,голова жирафа будет изображена на красочной фотографии
432529,461052,два жирафа будут стоять очень близко друг к другу
393282,532995,Два жирафа будут стоять посреди поля.
580693,562006,Жирафы будут сидеть на сухом травяном поле днем
116289,317074,Два жирафа будут стоять рядом друг с другом около дерева.
165336,218690,Два жирафа будут стоять рядом друг с другом на поле.
155546,637366,В гостиной возле обеденного стола будет стоять кожаный диван.
284375,226746,Открытый ноутбук будет стоять на деревянном столе.
82258,450055,Несколько книг будут сложены на столе.
314935,416073,Два ноутбука будут стоять на коричневом столе.
47597,168925,Часы будут стоять поверх нескольких книг.
509260,706593,Старый телевизор будет показывать старую компьютерную игру перед двумя книжными стеллажами.
242615,48728,Две аккуратно заправленные кровати в комнате.
400922,108960,Вывеска будет висеть на стене над часами.
500825,465840,Цветы будут стоять в высокой прозрачной вазе с водой.
88445,648789,украшенная ваза будет стоять на столешнице
435075,541767,Ваза будет наполнена множеством разноцветных цветов.
508115,482318,"Плюшевый мишка будет сидеть у цветка, кофейного мешка и религиозной статуи."
161008,303279,Ножницы будут лежать на деревянном ящике.
498363,60149,"Ножницы будут прикованы цепями, чтобы их не украли."
348012,611516,Ножницы будут лежать на рулоне клейкой ленты.
318730,621557,Ножницы перережут кусок веревки.
237844,476305,Ноутбук будет стоять на столе с другими аксессуарами.
34080,729521,Маленькие ножницы будут лежать рядом с копейкой.
425905,352981,Ножницы будут торчать из деревянного стола.
481890,524555,Большой белый мишка будет лежать на кровати с подушками.
328745,130171,Два коричневых мишки будут сидеть на кровати в черно-белую клетку.
73453,829306,маленький плюшевый мишка будет стоять на столе рядом с шоколадным десертом
523315,662720,Коричневый плюшевый мишка будет сидеть возле подушки
343534,762309,кукла будет держаться за руки с двумя плюшевыми мишками
43073,441233,Мальчик в синей рубашке будет стоять рядом с женщиной.
293133,280841,Маленькая девочка будет помогать высушить волосы другому ребенку.
338094,502277,Женщина в гостиной будет сушить волосы вниз головой.
27570,774300,Женщина будет сушить волосы феном перед зеркалом.
478874,528121,Молодая девушка будет держать фен и расчесывать волосы.
24402,521948,Женщина будет сушить феном комок газет.
212058,489586,Женщина будет дуть на ребенка феном перед столом.
177262,607500,Кот будет сидеть на стойке в ванной за феном.
361282,638785,Часы будут висеть на деревянной стене.
208,76457,Игрушечный динозавр будет стоять на раковине рядом с открытым краном
518287,346953,Зубная щетка будет стоять в секции зубной пасты в держателе зубной щетки.
102668,102718,Большой белый автобус будет проезжать перекресток.
49994,232613,Светофор будет стоять рядом со стеной здания.
225093,479825,На рельсах будет стоять поезд с зеленой и оранжевой полосами.
57149,68122,Школьный автобус и серебристая машина будут ждать на железнодорожном переезде.
369482,760970,светофор будет висеть над городской улицей
449793,149429,Два светофора будут установлены на столбе на дороге.
340654,79780,Светофор и уличные знаки будут находиться у красного пожарного гидранта.
258860,110323,Белый велосипед будет припаркован рядом с коричневой кирпичной стеной.
187495,542197,Пожарный гидрант будет стоять на углу тротуара.
283054,20145,Пожарный гидрант будет установлен на улице рядом с бордюром.
331223,398370,Красный пожарный гидрант будет находиться рядом с предупредительной перегородкой.
511583,470814,Автомобиль будет припаркован на улице ночью.
21671,347518,На тротуаре будет стоять сломанный розовый пожарный гидрант.
167422,180165,Красный пожарный гидрант будет стоять у реки с водой.
52005,631253,Желтый пожарный гидрант будет находиться рядом с кустами.
440559,497641,"Желтый пожарный гидрант будет стоять рядом с люком, из которого выходит пар."
186322,292307,Посеребренный ржавый пожарный гидрант будет стоять посреди прохода.
451014,552527,Синий и желтый пожарный гидрант будет стоять на обочине дороги.
535242,732235,красный знак «Стоп» будет находиться на дороге снаружи
88462,58590,Большой желтый школьный автобус будет останавливаться на дороге.
97892,97956,Белый демон будет парить рядом с красным знаком «Стоп» под знаком улицы с односторонним движением.
391321,644080,уличный фонарь будет находиться рядом со знаком «Стоп»
92244,124125,Кукла в платье будет стоять между двумя парковочными метрами.
258674,476865,Паркомат будет лежать криво на улице.
211653,316294,На выставке будут представлены паркоматы различных типов и размеров.
37709,147427,На одном столбе будет висеть знак «Стоп» и две таблички с названием улицы.
92212,200998,автомобили будут припаркованы около дорожных знаков
67757,311794,"Вечером рекламный щит магазина будет стоять на тротуаре рядом с синей машиной, припаркованной у обочины."
280325,649128,Граффити будет украшать стену перед парковочным счетчиком.
38186,563755,Грузовик будет стоять рядом с бордюром с счетчиком.
288824,128023,пожарная машина будет ехать по городской улице
503183,648903,Кукла на шарнирах будет стоять между двумя парковочными метрами и смотрит.
518030,464430,скамейка будет стоять на корнете с видом на воду
453584,706106,На красной скамейке будет изображен символ Coca-Cola.
57917,507535,Дерево будет расти на склоне возле скамейки.
330750,734260,Рядом со старым каменным зданием будет поставлена скамейка.
18485,115539,Деревянная скамейка будет стоять в зеленом парке.
154168,525100,Автобус будет проезжать по улице мимо высоких домов.
423744,632926,Этот ноутбук и монитор будут окружены множеством проводов
555298,543452,Собака будет спать между сумкой для книг и шредером под компьютерным столом.
111062,262639,Телевизор будет вмонтирован в стену между двумя полками.
406211,344731,Кошка будет сидеть на стуле в гостиной.
78107,673218,Кошка будет сидеть перед телевизором и пристально смотреть на него.
363461,948,Компьютерный стол и стул будут выглядеть как домашний офис.
568879,466981,Один из двух мониторов рядом с ноутбуками будет включен.
541664,322728,Ноутбук будет стоять на столе из лего.
561403,432664,"На компьютерном столе будет ноутбук, монитор и планшетный ПК."
482970,57954,Ноутбук будет стоять на столе с динамиком.
254169,829389,два ноутбука и монитор компьютера будут стоять рядом друг с другом на столе
93948,688923,Кошка будет стоять рядом с тарелкой на компьютере.
119828,508898,Кот будет сидеть на деревянном столе.
356790,354225,"Коллаж из четырех изображений будет показывать клавиатуры, мониторы и компьютерные мыши."
20481,733184,Ноутбук будет стоять на столе.
37367,503293,Ноутбук будет стоять на столе.
278313,729553,Хоккейная майка будет лежать на спинке дивана перед телевизором.
436963,469558,"Клавиатура, мышь и монитор будут стоять на столе."
427666,665051,Три банана будут лежать рядом с ноутбуком и мобильными телефонами.
219632,760037,Черная кудрявая собака будет играть с фрисби.
528488,145610,собака будет играть во фрисби на снегу
403315,84923,Хаски будет нести фрисби в парке.
223032,691970,Собака будет держать в пасти белую фрисби.
212817,394031,Ребенок на сноуборде будет спускаться по склону.
96625,459091,Мужчина будет выполнять трюк на лыжах.
207178,792688,Два человека будут стоять на снегу с лыжами.
392665,713137,Две молодые девушки будут сидеть в снаряжении для сноуборда
297698,736556,Лыжник в прыжке будет наклоняться вперед.
283186,85074,"Лыжник в шлеме и очках будет наклоняться, чтобы обойти препятствие."
263223,705288,Мужчина будет кататься на лыжах по заснеженному склону.
414170,280831,"Несколько лыжников будут скользить по холмистой местности, покрытой снегом."
761,731103,Группа лыжников будет готовиться к спуску с горы.
85813,319423,Пара вместе будет кататься на лыжах с горы.
239235,713366,Группа людей будет ехать вниз по заснеженной лыжной трассе.
112941,508064,Группа людей будет кататься на лыжах по склону заснеженной горы.
247692,568085,Группа мужчин будет кататься на лыжах по склону горнолыжного склона.
526040,743037,Человек на сноуборде будет упасть в снег.
102903,129853,Человек в серой парке будет сидеть на снегу
451104,338076,Человек будет стоять на тропинке в снегу.
296906,391836,Сноубордист в синем пальто будет выполнять воздушный трюк в альпийской зоне.
549683,516110,Мужчина будет пытаться кататься на сноуборде в темноте.
285462,439960,"Женщина будет держать в одной руке доску для сноуборда, а другую руку в воздухе."
203382,781909,медведь будет стоять в пруду
1682,694422,Лодка будет плыть по водоему.
359569,587089,Черно-коричневая собака будет идти по снегу с красной фрисби во рту.
66568,538013,"Два плюшевых мишки будут лежать, прислонившись к стене."
153392,662976,Много воздушных змеев будут подниматься высоко в облака.
502090,491727,Воздушный змей будет лететь по голубому небу с длинным хвостом.
7784,607568,большой воздушный змей будет лететь высоко в небе.
228025,588888,Воздушный змей будет лететь над песчаным коричневым пляжем.
44478,87628,Воздушный змей в форме самолета будет лететь по воздуху.
384476,426936,Воздушный змей будет лететь в голубом небе.
183416,49508,Воздушный змей в форме павлина будет лететь над головой в голубом небе.
162357,432952,Воздушный змей зацепится за голую ветку дерева.
351621,291302,Два воздушных змея будут лететь высоко в ясном голубом небе.
447501,798310,Зелёный воздушный змей-монстр будет парить в солнечном небе.
132686,411372,Небо будет наполнено множеством разноцветных воздушных змеев.
187890,777224,Воздушный змей-дракон будет пролетать перед монументом Вашингтона
550729,202357,Красочный воздушный змей будет лежать на зеленом поле.
308974,541563,Воздушный змей будет лететь по кристально чистому голубому небу.
85911,639356,Воздушный змей будет плыть посреди большого водоема.
509270,770558,На ветру будут летать два воздушных змея.
212801,76598,Несколько небольших воздушных змеев в форме дуги будут лететь над океаном
204067,637098,Игрок на домашней базе будет готовиться бить во время игры.
78671,740075,Бейсболист будет размахивать битой на поле
432820,781665,Бейсболист будет размахивать битой на поле.
8119,165508,Команда молодых людей будет играть в бейсбол.
115791,15050,Бейсболист будет стоять на ромбе с поднятой битой.
19176,108674,"Поле будет заполнено бейсболистами, играющими в бейсбол."
297522,615387,Отбивающий замахивался бейсбольной битой с ловцом позади него.
397729,35903,Маленький ребенок будет размахивать бейсбольной битой во время игры в бейсбол.
318130,724149,Отбивающий будет ждать броска подачи.
291209,108577,Мужчина будет идти по бейсбольному полю в кетчерской перчатке.
456725,395421,Мужчина будет играть в бейсбол
464087,396465,"Бейсбольный отбивающий будет совершать мощный удар, а кэтчер и судья будут смотреть на него."
231508,149207,Бейсболист будет бросать бейсбольный мяч на поле.
289076,107737,"Скейтбордист, одетый во все черное, будет подниматься по деревянной рампе на своей доске."
26518,726263,кто-то будет стоять на скейтборде
359387,423951,"Ребенок будет пытаться проделать трюк на скейтборде, сидя."
424271,108762,Группа маленьких детей будет кататься на скейтбордах в здании.
360595,345982,Мужчина со скейтбордом будет разговаривать с мужчиной в шляпе.
202444,473767,Скейтбордист будет выполнять трюк на цементе со зрителями при дневном свете
168260,672553,Желтый грузовик спасателя будет стоять на пляже
324189,530458,Доска для серфинга будет перерабатываться в уникальное кашпо.
234677,219988,Гигантский Соник будет стоять на пляже с доской для серфинга.
572907,495970,Мужчина будет стоять на теннисном корте с ракеткой.
